"Отметка времени","Ваш возраст?","Где Вы проживаете?","Хватает ли Вам мест общего пользования для свободного времяпровождения? (если вы проживаете во Фрунзенском районе)","Знаете ли Вы о существовании ДК Х-летия Октября (набережная Обводного канала, 62Б)?","Если знаете, как бы Вы описали его нынешнее состояние и роль в районе?","Что, на Ваш взгляд, является главной проблемой этого здания сейчас?","Как Вы считаете, нужно ли находить новое применение для этого здания?","Какие функции на Ваш взгляд наиболее востребованы? (выберите до 3-х вариантов)","Как часто Вы могли бы посещать обновленное пространство в ДК Х-летия Октября, если бы там появились интересные вам функции?","На Ваш взгляд, является ли это здание частью исторической памяти Фрунзенского района?","Какое решение вам кажется наиболее важным в будущем этого объекта?","Что могло бы стать для Вас решающим аргументом для посещения? "
"2026/01/10 3:18:58 PM GMT+3","18-25","Другой район Санкт-Петербурга","Нет","Нет, не знаю","","не хватает пиара, т.к. мне о нем неизвестно","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Реже, чем раз в месяц","Затрудняюсь ответить","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/01/10 3:20:53 PM GMT+3","26-35","Ленинградская область","Скорее нет","Нет, не знаю","","","Мне все равно","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Затрудняюсь ответить","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/01/10 3:22:59 PM GMT+3","18-25","Фрунзенский район","Скорее нет","Слышал(а), но подробности не известны","","Опустошенное состояние здания, без ремонта и без использования ","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали);Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/01/10 3:30:02 PM GMT+3","18-25","Другой район Санкт-Петербурга","Затрудняюсь ответить","Нет, не знаю","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Да, важная часть","Сохранение исторического облика и памяти места;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/01/10 3:31:12 PM GMT+3","36-45","Фрунзенский район","Скорее нет","Слышал(а), но подробности не известны","Не посещаю","Отсутствие полезных функций ","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе","1-2 раза в месяц","Да, важная часть","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
"2026/01/10 3:31:57 PM GMT+3","46-60","Ленинградская область","Скорее да","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства"
"2026/01/10 3:43:16 PM GMT+3","18-25","Другой район Санкт-Петербурга","","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Скорее да","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","1-2 раза в месяц","Скорее да, но не ключевая","Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
"2026/01/10 3:44:11 PM GMT+3","26-35","Фрунзенский район","Скорее да","Слышал(а), но подробности не известны","","","Скорее да","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Раз в неделю","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали);Место отдыха с детьми"
"2026/01/10 4:55:44 PM GMT+3","26-35","Фрунзенский район","Скорее нет","Да, знаю (видел(а)/бывал(а)/интересовался)","Здание находится в аварийном состоянии и не выполняет своей исторической функции культурного учреждения","Отсутствие статуса объекта культурного наследия, раздробленность прав собственности, отсутствие финансирования, критическое состояние объекта","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Несколько раз в неделю","Да, важная часть","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"
"2026/01/11 12:06:58 PM GMT+3","18-25","Другой район Санкт-Петербурга","","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Затрудняюсь ответить","Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
"2026/01/11 1:21:53 PM GMT+3","26-35","Другой район Санкт-Петербурга","","Нет, не знаю","","","Мне все равно","Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Вряд ли стал бы посещать","Затрудняюсь ответить","Создание новой яркой достопримечательности района","Высокое качество и комфорт пространства"
"2026/01/11 1:22:40 PM GMT+3","36-45","Фрунзенский район","Скорее да","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Вряд ли стал бы посещать","Затрудняюсь ответить","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 1:23:36 PM GMT+3","26-35","Фрунзенский район","Скорее да","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе","Реже, чем раз в месяц","Нет, это рядовое здание","Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/01/11 1:25:25 PM GMT+3","18-25","Фрунзенский район","Да","Нет, не знаю","","","Мне все равно","Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Нет, это рядовое здание","Сохранение исторического облика и памяти места","Уникальная атмосфера и история места"
"2026/01/11 1:26:24 PM GMT+3","18-25","Другой район Санкт-Петербурга","","Слышал(а), но подробности не известны","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Вряд ли стал бы посещать","Затрудняюсь ответить","Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/01/11 1:27:11 PM GMT+3","18-25","Фрунзенский район","Скорее да","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Нет, это рядовое здание","Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства"
"2026/01/11 1:30:01 PM GMT+3","26-35","Фрунзенский район","Скорее да","Слышал(а), но подробности не известны","","","Скорее да","Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/01/11 1:31:17 PM GMT+3","36-45","Фрунзенский район","Да","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых","Вряд ли стал бы посещать","Затрудняюсь ответить","Сохранение исторического облика и памяти места","Высокое качество и комфорт пространства"
"2026/01/11 1:32:17 PM GMT+3","26-35","Фрунзенский район","Да","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Затрудняюсь ответить","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства"
"2026/01/11 1:32:49 PM GMT+3","18-25","Фрунзенский район","Скорее да","Нет, не знаю","","","Мне все равно","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор","Реже, чем раз в месяц","Затрудняюсь ответить","Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства"
"2026/01/11 1:33:17 PM GMT+3","18-25","Фрунзенский район","Скорее да","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Затрудняюсь ответить","Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства;Уникальная атмосфера и история места"
"2026/04/21 2:37:16 PM GMT+3","36-45","Фрунзенский район","Скорее да","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Скорее да, но не ключевая","Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства"
"2026/04/21 2:37:45 PM GMT+3","до 18","Фрунзенский район","Скорее да","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе","Реже, чем раз в месяц","Нет, это рядовое здание","Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/04/21 2:38:24 PM GMT+3","26-35","Фрунзенский район","Да","Нет, не знаю","","","Скорее нет","Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Вряд ли стал бы посещать","Нет, это рядовое здание","Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/04/21 2:38:51 PM GMT+3","26-35","Фрунзенский район","Затрудняюсь ответить","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Затрудняюсь ответить","Создание новой яркой достопримечательности района","Уникальная атмосфера и история места"
"2026/04/21 2:39:45 PM GMT+3","36-45","Фрунзенский район","Скорее нет","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","1-2 раза в месяц","Затрудняюсь ответить","Создание новой яркой достопримечательности района","Высокое качество и комфорт пространства"
"2026/04/21 2:43:29 PM GMT+3","26-35","Другой район Санкт-Петербурга","","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места","Интересная программа мероприятий (концерты, лекции, фестивали)"
"2026/04/21 2:43:53 PM GMT+3","26-35","Фрунзенский район","Да","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Затрудняюсь ответить","Создание новой яркой достопримечательности района","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/21 2:44:16 PM GMT+3","26-35","Фрунзенский район","Да","Слышал(а), но подробности не известны","","","Мне все равно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор","Вряд ли стал бы посещать","Затрудняюсь ответить","Сохранение исторического облика и памяти места;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/21 2:44:38 PM GMT+3","26-35","Фрунзенский район","Да","Слышал(а), но подробности не известны","","","Скорее да","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Реже, чем раз в месяц","Скорее да, но не ключевая","Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
"2026/04/21 2:44:56 PM GMT+3","18-25","Другой район Санкт-Петербурга","","Слышал(а), но подробности не известны","","","Да, обязательно","Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр;Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе;Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор","Реже, чем раз в месяц","Затрудняюсь ответить","Создание современных, удобных и функциональных пространств","Возможность для самореализации (кружки, мастерские, волонтерство)"
"2026/04/21 2:45:51 PM GMT+3","36-45","Фрунзенский район","Скорее да","Нет, не знаю","","","Мне все равно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","Вряд ли стал бы посещать","Затрудняюсь ответить","Обеспечение доступности для всех социальных групп","Высокое качество и комфорт пространства"
"2026/04/21 2:46:17 PM GMT+3","36-45","Фрунзенский район","Да","Да, знаю (видел(а)/бывал(а)/интересовался)","","","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи;Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения;Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты","1-2 раза в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места;Создание современных, удобных и функциональных пространств;Обеспечение доступности для всех социальных групп;Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали);Высокое качество и комфорт пространства;Возможность для самореализации (кружки, мастерские, волонтерство);Уникальная атмосфера и история места"